Diem,KhoiThi
15.2,KhoiA
14.55,KhoiA
20.95,KhoiA
13.55,KhoiA
18.2,KhoiA
15.15,KhoiA1
21.05,KhoiA1
19.75,KhoiA1
18.8,KhoiA
22,KhoiA
13.5,KhoiA1
22.2,KhoiA
18.45,KhoiA1
16.8,KhoiA
11.15,KhoiA
15.55,KhoiA1
15.15,KhoiA1
17.7,KhoiA
13.3,KhoiA1
16.15,KhoiA
20.9,KhoiA
18.9,KhoiA1
14.9,KhoiA1
11.8,KhoiA1
15.15,KhoiA
21.05,KhoiA1
13,KhoiA
17.5,KhoiA
18.35,KhoiA
18.75,KhoiA1
19.9,KhoiA
17.1,KhoiA
11.2,KhoiA1
20.05,KhoiA1
19.7,KhoiA
19.75,KhoiA
16,KhoiA
14,KhoiA1
14.35,KhoiA1
14.25,KhoiA
10.5,KhoiA
13.4,KhoiA1
21.1,KhoiA
14.95,KhoiA
17.45,KhoiA1
18.8,KhoiA
11.95,KhoiA1
13.85,KhoiA
17.3,KhoiA1
12.9,KhoiA
17.95,KhoiA
16.1,KhoiA
20.55,KhoiA
16.5,KhoiA
17.95,KhoiA
16.6,KhoiA
21.7,KhoiA
9.25,KhoiA
17.25,KhoiA
15.35,KhoiA
11.95,KhoiA1
15.2,KhoiA1
20.1,KhoiA1
12.65,KhoiA1
14.35,KhoiA
17.15,KhoiA1
14.75,KhoiA1
11.3,KhoiA1
16.35,KhoiA
13.3,KhoiA1
19,KhoiA1
15.4,KhoiA
16.05,KhoiA
16.9,KhoiA
15.25,KhoiA1
15.45,KhoiA1
15.7,KhoiA1
12.15,KhoiA1
21.7,KhoiA
11.85,KhoiA1
13.25,KhoiA1
21.15,KhoiA
16.95,KhoiA
18.85,KhoiA
14.75,KhoiA1
18.85,KhoiA1
18.8,KhoiA1
19.7,KhoiA1
15.15,KhoiA1
13.75,KhoiA1
13.4,KhoiA1
15.7,KhoiA1
23.9,KhoiA
18.1,KhoiA1
10.2,KhoiA
15.5,KhoiA1
18.6,KhoiA
16.05,KhoiA1
17,KhoiA
13.85,KhoiA
23.7,KhoiA
12.9,KhoiA1
15.35,KhoiA1
15.55,KhoiA
10.75,KhoiA
13.15,KhoiA1
16.65,KhoiA
17.2,KhoiA
15.25,KhoiA
13.55,KhoiA1
20,KhoiA
15.8,KhoiA
19.35,KhoiA1
12.6,KhoiA
8.6,KhoiA1
11.7,KhoiA
18.75,KhoiA1
19.5,KhoiA1
12.45,KhoiA1
23,KhoiA
20.75,KhoiA
11,KhoiA1
14.25,KhoiA1
18.6,KhoiA1
13.95,KhoiA1
17.35,KhoiA
11.75,KhoiA1
20.95,KhoiA
13.2,KhoiA1
12.85,KhoiA1
18.6,KhoiA
11.9,KhoiA1
15.15,KhoiA
19.95,KhoiA1
10.2,KhoiA
16.85,KhoiA1
16.45,KhoiA1
15.3,KhoiA1
15.2,KhoiA1
19.85,KhoiA1
9.8,KhoiA1
13.9,KhoiA1
18.45,KhoiA
