Diem,KhoiThi
17.25,KhoiA
10.5,KhoiA
13.8,KhoiA
16,KhoiA
11.7,KhoiA
10.75,KhoiA
15.55,KhoiA
17.1,KhoiA
13.9,KhoiA
19.9,KhoiA
14.85,KhoiA
14.1,KhoiA
15.5,KhoiA
13.95,KhoiA
14.9,KhoiA
12.8,KhoiA
22.4,KhoiA
15.75,KhoiA
23.7,KhoiA
16.9,KhoiA
18.05,KhoiA
20.05,KhoiA
18.35,KhoiA
21.2,KhoiA
23.55,KhoiA
14.4,KhoiA
21.7,KhoiA
15.95,KhoiA
20.45,KhoiA
22.95,KhoiA
21.1,KhoiA
17.2,KhoiA
19.05,KhoiA
11.35,KhoiA
23.75,KhoiA
13.05,KhoiA
18.15,KhoiA
16.95,KhoiA
17,KhoiA
15.6,KhoiA
16.9,KhoiA
18.45,KhoiA
17.9,KhoiA
14.35,KhoiA
14.25,KhoiA
14,KhoiA
12.85,KhoiA
11.15,KhoiA
16.8,KhoiA
18.75,KhoiA
17.6,KhoiA
11.9,KhoiA
14.8,KhoiA
16.05,KhoiA
16.45,KhoiA
16.15,KhoiA
9.85,KhoiA
17.85,KhoiA
13.85,KhoiA
14.9,KhoiA
15,KhoiA
10.75,KhoiA
19.7,KhoiA
16.5,KhoiA
17.95,KhoiA
15.35,KhoiA
8.95,KhoiA
16.1,KhoiA
13.7,KhoiA
20.55,KhoiA
11,KhoiA
18.25,KhoiA
14.1,KhoiA
14.05,KhoiA
15.75,KhoiA
9.55,KhoiA
17,KhoiA
11.15,KhoiA
16.5,KhoiA
10.75,KhoiA
23.9,KhoiA
12.7,KhoiA
19.35,KhoiA
16.6,KhoiA
10.95,KhoiA
14.15,KhoiA
12.35,KhoiA
14.3,KhoiA
10.2,KhoiA
15.4,KhoiA
11.55,KhoiA
19,KhoiA
19.8,KhoiA
18.6,KhoiA
11.95,KhoiA
14.5,KhoiA
15.25,KhoiA
14.25,KhoiA
15.15,KhoiA
13.3,KhoiA
19.1,KhoiA
21.2,KhoiA
20.9,KhoiA
15.15,KhoiA
16.05,KhoiA
19.55,KhoiA
15.1,KhoiA
23,KhoiA
15.1,KhoiA
16.15,KhoiA
14.4,KhoiA
18.1,KhoiA
12.7,KhoiA
12.5,KhoiA
20.85,KhoiA
16.95,KhoiA
10.9,KhoiA
22.65,KhoiA
13.45,KhoiA
15.5,KhoiA
23.7,KhoiA
17.55,KhoiA
18.25,KhoiA
15.7,KhoiA
14.35,KhoiA
17.3,KhoiA
15.9,KhoiA
16.35,KhoiA
13.3,KhoiA
17.1,KhoiA
13.85,KhoiA
18.85,KhoiA
18.8,KhoiA
19.6,KhoiA
19.5,KhoiA
21.9,KhoiA
23.45,KhoiA
21.8,KhoiA
20.75,KhoiA
10.8,KhoiA
18.55,KhoiA
16.8,KhoiA
10.5,KhoiA
20.95,KhoiA
18.3,KhoiA
12.7,KhoiA
18.75,KhoiA
18.6,KhoiA
14.55,KhoiA
21.05,KhoiA
14.45,KhoiA
9.9,KhoiA
23.35,KhoiA
25.45,KhoiA
17.95,KhoiA
14.6,KhoiA
13.35,KhoiA
21.1,KhoiA
13.1,KhoiA
16.7,KhoiA
23.7,KhoiA
13.55,KhoiA
12.75,KhoiA
17.8,KhoiA
16.65,KhoiA
18.2,KhoiA
14.95,KhoiA
18.75,KhoiA
13.85,KhoiA
19.85,KhoiA
14.25,KhoiA
26.05,KhoiA
17.65,KhoiA
12.9,KhoiA
18.25,KhoiA
19.7,KhoiA
21.55,KhoiA
19.25,KhoiA
26.75,KhoiA
15.45,KhoiA
22.2,KhoiA
18.55,KhoiA
15.15,KhoiA
19.65,KhoiA
17.1,KhoiA
17.4,KhoiA
12.7,KhoiA
23.15,KhoiA
16.2,KhoiA
9.95,KhoiA
9.25,KhoiA
17.6,KhoiA
13.7,KhoiA
16,KhoiA
15.2,KhoiA
19.5,KhoiA
20.35,KhoiA
18.2,KhoiA
17,KhoiA
15.35,KhoiA
15.85,KhoiA
20.05,KhoiA
18.75,KhoiA
16.8,KhoiA
19.75,KhoiA
19.45,KhoiA
12.15,KhoiA
18.65,KhoiA
16.45,KhoiA
18.4,KhoiA
18.3,KhoiA
15.35,KhoiA
17.7,KhoiA
13.55,KhoiA
18.2,KhoiA
10.2,KhoiA
18.45,KhoiA
22.25,KhoiA
15.85,KhoiA
17.5,KhoiA
18.6,KhoiA
16.25,KhoiA
20.1,KhoiA
12.45,KhoiA
11.25,KhoiA
11.55,KhoiA
21.8,KhoiA
13.15,KhoiA
18,KhoiA
17.1,KhoiA
20.95,KhoiA
15.45,KhoiA
18.4,KhoiA
15.8,KhoiA
13,KhoiA
16.4,KhoiA
13.2,KhoiA
12.6,KhoiA
21.3,KhoiA
23.85,KhoiA
17.35,KhoiA
14.7,KhoiA
19.75,KhoiA
13.9,KhoiA
16.4,KhoiA
21.15,KhoiA
12.75,KhoiA
13.95,KhoiA
18.7,KhoiA
22.25,KhoiA
17.55,KhoiA
22.15,KhoiA
12,KhoiA
17.9,KhoiA
18.9,KhoiA
21.7,KhoiA
17.1,KhoiA
17.2,KhoiA
18.65,KhoiA
19,KhoiA
15.1,KhoiA
14.45,KhoiA
17.6,KhoiA
9.3,KhoiA
20.95,KhoiA
13.25,KhoiA
11.85,KhoiA
12.05,KhoiA
14.8,KhoiA
15.95,KhoiA
13.1,KhoiA
15.75,KhoiA
7.15,KhoiA
12.3,KhoiA
12.05,KhoiA
21.05,KhoiA
16.4,KhoiA
21.55,KhoiA
17.95,KhoiA
10.45,KhoiA
14.05,KhoiA
15.85,KhoiA
19.9,KhoiA
18.8,KhoiA
13.8,KhoiA
10.4,KhoiA
15.2,KhoiA
17.35,KhoiA
13.3,KhoiA
15.7,KhoiA
14.65,KhoiA
18.2,KhoiA
14.5,KhoiA
18.8,KhoiA
23.05,KhoiA
17.85,KhoiA
16.05,KhoiA
18.25,KhoiA
16.4,KhoiA
22,KhoiA
16.9,KhoiA
20.95,KhoiA
20,KhoiA
17.6,KhoiA
17.9,KhoiA
16.15,KhoiA
18.35,KhoiA
15.2,KhoiA
23.1,KhoiA
16.2,KhoiA
16,KhoiA
11.05,KhoiA
16.05,KhoiA
16.35,KhoiA
21.85,KhoiA
22.45,KhoiA
19.55,KhoiA
28.45,KhoiA
19.55,KhoiA
17.65,KhoiA
17.15,KhoiA
17.25,KhoiA
17.75,KhoiA
20.85,KhoiA
21.7,KhoiA
15.05,KhoiA
9.35,KhoiA
12.8,KhoiA
13.7,KhoiA
15.1,KhoiA
13.5,KhoiA
9.8,KhoiA
16.1,KhoiA
14.5,KhoiA
18.8,KhoiA
14.45,KhoiA
18,KhoiA
18.2,KhoiA
14.45,KhoiA
19.95,KhoiA
15.15,KhoiA
15.9,KhoiA
15.65,KhoiA
15.25,KhoiA
16.05,KhoiA
14.65,KhoiA
17.55,KhoiA
17.45,KhoiA
17.2,KhoiA
18.7,KhoiA
13.55,KhoiA
21.55,KhoiA
10.2,KhoiA
21.2,KhoiA
18.5,KhoiA
17.6,KhoiA
9.05,KhoiA
17.75,KhoiA
16.45,KhoiA
13.75,KhoiA
14.05,KhoiA
16.85,KhoiA
18.7,KhoiA
16.75,KhoiA
18.5,KhoiA
20.55,KhoiA
19.35,KhoiA
16.6,KhoiA
18.75,KhoiA
19.85,KhoiA
16.6,KhoiA
12.6,KhoiA
13.2,KhoiA
12.2,KhoiA
14.15,KhoiA
14.55,KhoiA
12.3,KhoiA
22.7,KhoiA
15.75,KhoiA
15.9,KhoiA
12.85,KhoiA
19.05,KhoiA
15.25,KhoiA
17.85,KhoiA
18.25,KhoiA
15.65,KhoiA
13.3,KhoiA
14.25,KhoiA
19.2,KhoiA
20.8,KhoiA
19.4,KhoiA
17.4,KhoiA
15.85,KhoiA
14.4,KhoiA
13.15,KhoiA
20.1,KhoiA
13.8,KhoiA
17.35,KhoiA
10.95,KhoiA
12.7,KhoiA
16.55,KhoiA
9.95,KhoiA
10.6,KhoiA
12.25,KhoiA
10.6,KhoiA
19.3,KhoiA
