AQI index,Dominent pollutant,PM10,PM2.5,,,,,,,,
36,pm25,29,36,,,,,,,,
68,pm25,52,68,,,,,,,,
217,pm25,194,217,,,,,,,,
195,pm25,119,195,,,,,,,,
168,pm25,65,168,,,,,,,,
48,pm25,25,48,,,,,,,,
18,pm25,12,18,,,,,,,,
251,pm25,155,251,,,,,,,,
315,pm25,205,315,,,,,,,,
224,pm25,185,224,,,,,,,,
177,pm25,112,177,,,,,,,,
179,pm25,122,179,,,,,,,,
214,pm25,149,214,,,,,,,,
213,pm25,175,213,,,,,,,,
166,pm25,105,166,,,,,,,,
221,pm25,177,221,,,,,,,,
191,pm25,130,191,,,,,,,,
213,pm25,204,213,,,,,,,,
18,pm10,18,17,,,,,,,,
189,pm25,156,189,,,,,,,,
164,pm25,88,164,,,,,,,,
131,pm25,24,131,,,,,,,,
49,pm25,26,49,,,,,,,,
38,pm25,24,38,,,,,,,,
235,pm25,138,235,,,,,,,,
252,pm25,157,252,,,,,,,,
191,pm25,157,191,,,,,,,,
161,pm25,90,161,,,,,,,,
164,pm25,114,164,,,,,,,,
183,pm25,126,183,,,,,,,,
186,pm25,151,186,,,,,,,,
158,pm25,94,158,,,,,,,,
188,pm25,152,188,,,,,,,,
159,pm25,95,159,,,,,,,,
212,pm10,212,208,,,,,,,,
26,pm25,25,26,,,,,,,,
169,pm25,123,169,,,,,,,,
176,pm25,102,176,,,,,,,,
151,pm25,55,151,,,,,,,,
65,pm25,34,65,,,,,,,,
51,pm25,29,51,,,,,,,,
226,pm25,136,226,,,,,,,,
214,pm25,128,214,,,,,,,,
170,pm25,130,170,,,,,,,,
149,pm25,81,149,,,,,,,,
157,pm25,92,157,,,,,,,,
160,pm25,106,160,,,,,,,,
167,pm25,123,167,,,,,,,,
151,pm25,83,151,,,,,,,,
168,pm25,121,168,,,,,,,,
155,pm25,89,155,,,,,,,,
340,pm10,340,194,,,,,,,,
70,pm25,53,70,,,,,,,,
29,pm25,24,29,,,,,,,,
147,pm25,95,147,,,,,,,,
176,pm25,102,176,,,,,,,,
127,pm25,56,127,,,,,,,,
32,pm25,17,32,,,,,,,,
11,pm25,7,11,,,,,,,,
137,pm25,91,137,,,,,,,,
116,pm25,66,116,,,,,,,,
150,pm25,102,150,,,,,,,,
106,pm25,66,106,,,,,,,,
132,pm25,77,132,,,,,,,,
145,pm25,84,145,,,,,,,,
146,pm25,102,146,,,,,,,,
108,pm25,61,108,,,,,,,,
151,pm25,104,151,,,,,,,,
109,pm25,61,109,,,,,,,,
185,pm10,185,174,,,,,,,,
26,pm25,25,26,,,,,,,,
17,pm25,21,17,,,,,,,,
126,pm25,87,126,,,,,,,,
176,pm25,102,176,,,,,,,,
103,pm25,65,103,,,,,,,,
44,pm25,23,44,,,,,,,,
20,pm25,12,20,,,,,,,,
75,pm25,55,75,,,,,,,,
92,pm25,59,92,,,,,,,,
117,pm25,82,117,,,,,,,,
73,pm25,51,73,,,,,,,,
86,pm25,56,86,,,,,,,,
104,pm25,64,104,,,,,,,,
113,pm25,83,113,,,,,,,,
117,pm25,69,117,,,,,,,,
79,pm25,55,79,,,,,,,,
188,pm25,186,188,,,,,,,,
14,pm25,14,14,,,,,,,,
87,pm25,71,87,,,,,,,,
67,pm25,53,67,,,,,,,,
63,pm10,63,28,,,,,,,,
45,pm25,26,45,,,,,,,,
22,pm25,13,22,,,,,,,,
142,pm25,77,142,,,,,,,,
106,pm25,60,106,,,,,,,,
88,pm25,58,88,,,,,,,,
71,pm25,47,71,,,,,,,,
63,pm25,46,63,,,,,,,,
80,pm25,53,80,,,,,,,,
